PERSON_ID,PERSON_TYPE,CRASH_DATE,CITY,ZIPCODE,SEX,AGE,AIRBAG_DEPLOYED,INJURY_CLASSIFICATION,HOSPITAL,DRIVER_ACTION,Hour,Day,WeekDay,Month
O1322280,2,4/23/2022 13:10,CHICAGO,60629,F,53,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,13,23,5,4
O1322328,2,4/23/2022 13:53,CHICAGO,60612,M,77,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,13,23,5,4
O1322317,2,4/23/2022 14:00,CHICAGO,60617,F,21,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,14,23,5,4
O1322320,2,4/23/2022 14:10,CHICAGO,60626,M,29,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,14,23,5,4
O1322380,2,4/23/2022 14:32,CHICAGO,60632,F,43,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED EMS,UNKNOWN,14,23,5,4
O1322381,2,4/23/2022 14:32,CHICAGO,60629,M,73,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED EMS,UNKNOWN,14,23,5,4
O1322493,2,4/23/2022 15:20,CHICAGO,60624,F,24,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,15,23,5,4
O1322356,2,4/23/2022 15:26,CHICAGO,60629,F,22,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,15,23,5,4
O1322357,2,4/23/2022 15:26,CHICAGO,60645,M,33,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,15,23,5,4
O1322435,2,4/23/2022 15:38,CHICAGO,60642,M,27,NOT APPLICABLE,NONINCAPACITATING INJURY,STROGER,NONE,15,23,5,4
O1322591,2,4/23/2022 15:45,CHICAGO,60630,M,63,DID NOT DEPLOY,INCAPACITATING INJURY,LUTHERAN GENERAL,IMPROPER TURN,15,23,5,4
O1322441,2,4/23/2022 16:10,CHICAGO,60649,M,71,NOT APPLICABLE,NONINCAPACITATING INJURY,SOUTH SHORE,OTHER,16,23,5,4
O1322522,2,4/23/2022 16:17,CHICAGO,60622,M,18,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,EVADING POLICE VEHICLE,16,23,5,4
O1324739,2,4/23/2022 16:20,CHICAGO,60651,F,22,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,MT. SINAI,DISREGARDED CONTROL DEVICES,16,23,5,4
O1322409,2,4/23/2022 16:32,CHICAGO,60634,F,71,NOT APPLICABLE,NO INDICATION OF INJURY,EMS REFUSED,UNKNOWN,16,23,5,4
O1323818,2,4/23/2022 16:39,CHICAGO,60618,M,58,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,IMPROPER LANE CHANGE,16,23,5,4
O1322472,2,4/23/2022 17:00,CHICAGO,60634,F,74,DID NOT DEPLOY,NONINCAPACITATING INJURY,RESURRECTION HOSPITAL,NONE,17,23,5,4
O1322447,2,4/23/2022 17:10,CHICAGO,60617,F,24,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",REFUSE/ ON SCENE,NONE,17,23,5,4
O1322496,2,4/23/2022 17:10,CHICAGO,60660,M,35,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,17,23,5,4
O1326087,2,4/23/2022 17:13,CHICAGO,60638,F,27,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,17,23,5,4
O1322480,2,4/23/2022 17:35,CHICAGO,60629,F,40,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,17,23,5,4
O1322481,2,4/23/2022 17:35,CHICAGO,60629,F,32,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,17,23,5,4
O1323715,2,4/23/2022 18:10,CHICAGO,60651,M,23,NOT APPLICABLE,INCAPACITATING INJURY,NORTHWESTERN HOSPITAL,NONE,18,23,5,4
O1322547,2,4/23/2022 18:40,CHICAGO,60629,M,49,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,OTHER,18,23,5,4
O1322604,2,4/23/2022 18:50,CHICAGO,60651,M,38,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,18,23,5,4
O1322605,2,4/23/2022 18:50,CHICAGO,60639,F,25,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,ST. MARY'S,NONE,18,23,5,4
O1322585,2,4/23/2022 18:55,CHICAGO,60624,F,38,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,18,23,5,4
O1322578,2,4/23/2022 19:09,CHICAGO,60618,M,34,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",ADVOCATE ILL MASONIC MEDICAL CENTER,UNKNOWN,19,23,5,4
O1322723,2,4/23/2022 19:35,CHICAGO,60631,M,73,NOT APPLICABLE,NONINCAPACITATING INJURY,RESURRECTION HOSPITAL,NONE,19,23,5,4
O1322611,2,4/23/2022 19:55,CHICAGO,60639,M,25,NOT APPLICABLE,FATAL,ILLINOIS MASONIC,NONE,19,23,5,4
O1322636,2,4/23/2022 20:10,CHICAGO,60623,F,57,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,MT. SINAI,OTHER,20,23,5,4
O1325881,2,4/23/2022 20:16,CHICAGO,60637,F,64,"DEPLOYED, FRONT",INCAPACITATING INJURY,UNIVERSITY OF CHICAGO,UNKNOWN,20,23,5,4
O1322583,2,4/23/2022 20:19,CHICAGO,60644,F,22,NOT APPLICABLE,NO INDICATION OF INJURY,EMS REFUSED,FAILED TO YIELD,20,23,5,4
O1322629,2,4/23/2022 20:27,CHICAGO,60652,M,51,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,IMPROPER TURN,20,23,5,4
O1322630,2,4/23/2022 20:27,CHICAGO,60637,F,32,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,20,23,5,4
O1322627,2,4/23/2022 21:20,CHICAGO,60629,M,30,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSE/ON SCENE,DISREGARDED CONTROL DEVICES,21,23,5,4
O1323920,2,4/23/2022 22:08,CHICAGO,60618,F,25,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED ATTN,NONE,22,23,5,4
O1322928,2,4/23/2022 22:16,CHICAGO,60827,F,41,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,NONE,22,23,5,4
O1322702,2,4/23/2022 23:55,CHICAGO,60625,M,27,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,FAILED TO YIELD,23,23,5,4
O1322749,2,4/24/2022 0:12,CHICAGO,60624,M,34,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,NORTHWESTERN,UNKNOWN,0,24,6,4
O1322731,2,4/24/2022 0:15,CHICAGO,60619,M,66,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,UOFC,UNKNOWN,0,24,6,4
O1322799,2,4/24/2022 0:30,CHICAGO,60651,M,0,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,0,24,6,4
O1322801,2,4/24/2022 1:45,CHICAGO,60804,F,30,DID NOT DEPLOY,NONINCAPACITATING INJURY,RUSH,NONE,1,24,6,4
O1322829,2,4/24/2022 2:24,CHICAGO,60629,M,27,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,ST ANTHONY,DISREGARDED CONTROL DEVICES,2,24,6,4
O1322836,2,4/24/2022 2:26,CHICAGO,60629,M,27,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,ST ANTHONY HOSPITAL,DISREGARDED CONTROL DEVICES,2,24,6,4
O1322837,2,4/24/2022 2:26,CHICAGO,60623,F,20,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,ST ANTHONY HOSPITAL,UNKNOWN,2,24,6,4
O1322844,2,4/24/2022 3:08,CHICAGO,60617,F,19,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,TRINITY HOSPITAL,UNKNOWN,3,24,6,4
O1326774,2,4/24/2022 3:11,CHICAGO,60608,F,32,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,MT SINAI,NONE,3,24,6,4
O1323335,2,4/24/2022 5:00,CHICAGO,60637,F,39,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,5,24,6,4
O1322914,2,4/24/2022 5:05,CHICAGO,60632,F,30,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,5,24,6,4
O1322868,2,4/24/2022 6:08,CHICAGO,60609,M,54,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,MOUNT SINAI,UNKNOWN,6,24,6,4
O1323007,2,4/24/2022 9:30,CHICAGO,60610,F,59,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,NONE,9,24,6,4
O1322988,2,4/24/2022 9:45,CHICAGO,60649,F,16,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,9,24,6,4
O1322989,2,4/24/2022 9:45,CHICAGO,60619,F,70,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,9,24,6,4
O1322993,2,4/24/2022 10:00,CHICAGO,60634,M,20,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",REFUSED,UNKNOWN,10,24,6,4
O1322994,2,4/24/2022 10:00,CHICAGO,60641,M,47,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",REFUSED,NONE,10,24,6,4
O1323072,2,4/24/2022 11:39,CHICAGO,60624,F,45,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,WEST SUBURBAN HOSPITAL,IMPROPER TURN,11,24,6,4
O1323073,2,4/24/2022 11:39,CHICAGO,60624,M,65,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,NORWEIGAN HOSPITAL,NONE,11,24,6,4
O1323070,2,4/24/2022 12:30,CHICAGO,60610,F,82,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,DISREGARDED CONTROL DEVICES,12,24,6,4
O1325261,2,4/24/2022 13:05,CHICAGO,60621,F,49,"DEPLOYED, FRONT",INCAPACITATING INJURY,UNIVERSITY OF CHICAGO,NONE,13,24,6,4
O1323402,2,4/24/2022 13:15,CHICAGO,60643,F,41,DID NOT DEPLOY,NONINCAPACITATING INJURY,UNIVERSITY OF CHICAGO,UNKNOWN,13,24,6,4
O1323160,2,4/24/2022 13:55,CHICAGO,60636,M,63,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,HOLY CROSS HOSPITAL,UNKNOWN,13,24,6,4
O1323226,2,4/24/2022 14:50,CHICAGO,60622,M,73,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED ATTN,FAILED TO YIELD,14,24,6,4
O1323283,2,4/24/2022 18:45,CHICAGO,60608,M,73,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,18,24,6,4
O1323304,2,4/24/2022 19:40,CHICAGO,60608,M,29,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,OTHER,19,24,6,4
O1323705,2,4/24/2022 20:38,CHICAGO,60608,M,68,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,20,24,6,4
O1323319,2,4/24/2022 20:46,CHICAGO,60617,F,40,NOT APPLICABLE,NO INDICATION OF INJURY,DECLINED EMS,FAILED TO YIELD,20,24,6,4
O1323329,2,4/24/2022 22:00,CHICAGO,60617,F,33,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,DNA,UNKNOWN,22,24,6,4
O1323364,2,4/24/2022 23:01,CHICAGO,60621,M,25,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,ROSELAND COMMUNITY HOSPITAL,UNKNOWN,23,24,6,4
O1323376,2,4/25/2022 1:14,CHICAGO,60616,M,24,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED EMS,FAILED TO YIELD,1,25,0,4
O1323374,2,4/25/2022 2:43,CHICAGO,60644,M,24,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,OTHER,2,25,0,4
O1323375,2,4/25/2022 2:43,CHICAGO,60628,M,25,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",NORTHWESTERN HOSPITAL,NONE,2,25,0,4
O1323384,2,4/25/2022 3:13,CHICAGO,60652,M,30,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,MT SINAI HOSPITAL,NONE,3,25,0,4
O1323399,2,4/25/2022 6:13,CHICAGO,60608,F,28,DID NOT DEPLOY,NONINCAPACITATING INJURY,UIC,OTHER,6,25,0,4
O1323519,2,4/25/2022 6:15,CHICAGO,60643,F,47,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,6,25,0,4
O1323407,2,4/25/2022 7:00,CHICAGO,60623,M,53,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,7,25,0,4
O1323408,2,4/25/2022 7:00,CHICAGO,60619,M,63,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,NONE,7,25,0,4
O1323458,2,4/25/2022 7:15,CHICAGO,60629,F,20,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,7,25,0,4
O1323459,2,4/25/2022 7:15,CHICAGO,60657,F,49,DID NOT DEPLOY,NONINCAPACITATING INJURY,IL MASONIC,UNKNOWN,7,25,0,4
O1324024,2,4/25/2022 8:30,CHICAGO,60645,M,43,DID NOT DEPLOY,NONINCAPACITATING INJURY,REFUSED,NONE,8,25,0,4
O1323476,2,4/25/2022 9:25,CHICAGO,60632,F,61,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,9,25,0,4
O1323597,2,4/25/2022 9:30,CHICAGO,60612,F,43,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED ATTN,NONE,9,25,0,4
O1323636,2,4/25/2022 9:34,CHICAGO,60638,M,60,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,9,25,0,4
O1323489,2,4/25/2022 9:48,CHICAGO,60609,M,30,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,9,25,0,4
O1323509,2,4/25/2022 9:51,CHICAGO,60623,F,25,NOT APPLICABLE,"REPORTED, NOT EVIDENT",UNIVERSITY OF ILLINOIS- CHICAGO,NONE,9,25,0,4
O1323516,2,4/25/2022 10:25,CHICAGO,60624,M,31,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,IMPROPER LANE CHANGE,10,25,0,4
O1323517,2,4/25/2022 10:25,CHICAGO,60699,M,66,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,10,25,0,4
O1323536,2,4/25/2022 10:47,CHICAGO,60647,M,78,DID NOT DEPLOY,NONINCAPACITATING INJURY,ILLINOIS MASONIC,NONE,10,25,0,4
O1323598,2,4/25/2022 11:20,CHICAGO,60643,M,53,NOT APPLICABLE,NO INDICATION OF INJURY,NONE,IMPROPER LANE CHANGE,11,25,0,4
O1326831,2,4/25/2022 11:30,CHICAGO,60616,M,70,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",MERCY,NONE,11,25,0,4
O1323595,2,4/25/2022 11:48,CHICAGO,60644,M,27,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,WEST SUBURBAN,NONE,11,25,0,4
O1323565,2,4/25/2022 12:15,CHICAGO,60636,F,25,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,IMPROPER BACKING,12,25,0,4
O1323566,2,4/25/2022 12:15,CHICAGO,60608,F,40,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,12,25,0,4
O1323591,2,4/25/2022 12:41,CHICAGO,60639,M,49,DID NOT DEPLOY,NONINCAPACITATING INJURY,STROGER,OTHER,12,25,0,4
O1323577,2,4/25/2022 13:02,CHICAGO,60632,M,41,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,13,25,0,4
O1323617,2,4/25/2022 13:05,CHICAGO,60628,F,18,DID NOT DEPLOY,NONINCAPACITATING INJURY,ROSELAND COMMUNITY HOSPITAL,OTHER,13,25,0,4
O1323641,2,4/25/2022 13:19,CHICAGO,60619,M,41,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,LITTLE COMPANY OF MARY,NONE,13,25,0,4
O1323679,2,4/25/2022 13:55,CHICAGO,60680,M,61,NOT APPLICABLE,NO INDICATION OF INJURY,NONE,OTHER,13,25,0,4
O1323717,2,4/25/2022 14:04,CHICAGO,60659,F,49,DID NOT DEPLOY,NO INDICATION OF INJURY,NORTHWESTERN,NONE,14,25,0,4
O1327677,2,4/25/2022 14:30,CHICAGO,60649,M,61,NOT APPLICABLE,"REPORTED, NOT EVIDENT",UNIVERSITY OF CHICAGO,NONE,14,25,0,4
O1323741,2,4/25/2022 15:00,CHICAGO,60625,F,64,DID NOT DEPLOY,NO INDICATION OF INJURY,NO INDICATION OF INJURY,OTHER,15,25,0,4
O1323835,2,4/25/2022 15:03,CHICAGO,60655,F,69,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,UNIVERSITY OF CHICAGO,OTHER,15,25,0,4
O1323735,2,4/25/2022 15:31,CHICAGO,60621,M,57,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",ST ANTHONYS,NONE,15,25,0,4
O1323763,2,4/25/2022 16:22,CHICAGO,60657,M,26,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,COOK COUNTY/STROGER HOSPITAL,UNKNOWN,16,25,0,4
O1323789,2,4/25/2022 16:38,CHICAGO,60653,F,46,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,16,25,0,4
O1323826,2,4/25/2022 17:10,CHICAGO,60608,M,19,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,17,25,0,4
O1323887,2,4/25/2022 17:30,CHICAGO,60628,M,32,"DEPLOYED, FRONT","REPORTED, NOT EVIDENT",LCM,IMPROPER TURN,17,25,0,4
O1323911,2,4/25/2022 17:30,CHICAGO,60619,F,30,NOT APPLICABLE,INCAPACITATING INJURY,UNIVERSITY OF CHICAGO,UNKNOWN,17,25,0,4
O1323912,2,4/25/2022 17:30,CHICAGO,60637,F,79,NOT APPLICABLE,INCAPACITATING INJURY,UNIVERSITY OF CHICAGO,NONE,17,25,0,4
O1323906,2,4/25/2022 17:47,CHICAGO,60641,M,37,DID NOT DEPLOY,NO INDICATION OF INJURY,NORWEIGAN,OTHER,17,25,0,4
O1323889,2,4/25/2022 18:07,CHICAGO,60645,M,33,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,18,25,0,4
O1323890,2,4/25/2022 18:07,CHICAGO,60645,M,36,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,18,25,0,4
O1323891,2,4/25/2022 18:07,CHICAGO,60659,M,23,DID NOT DEPLOY,NONINCAPACITATING INJURY,ST FRANCIS,OTHER,18,25,0,4
O1323932,2,4/25/2022 19:00,CHICAGO,60628,M,27,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,ROSELAND COMMUNITY HOSPITAL,NONE,19,25,0,4
O1323977,2,4/25/2022 23:20,CHICAGO,60617,M,60,DID NOT DEPLOY,NO INDICATION OF INJURY,TRINITY,OTHER,23,25,0,4
O1323996,2,4/26/2022 1:04,CHICAGO,60621,F,36,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",ST. BERNARD'S,UNKNOWN,1,26,1,4
O1323995,2,4/26/2022 1:25,CHICAGO,60621,F,35,NOT APPLICABLE,"REPORTED, NOT EVIDENT",ST. BERNARD,NONE,1,26,1,4
O1324002,2,4/26/2022 1:30,CHICAGO,60621,F,35,NOT APPLICABLE,NO INDICATION OF INJURY,PROVIDENT HOSPITAL OF COOK COUNTY,UNKNOWN,1,26,1,4
O1324014,2,4/26/2022 7:12,CHICAGO,60680,M,53,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,26,1,4
O1324085,2,4/26/2022 7:30,CHICAGO,60628,F,28,"DEPLOYED, FRONT","REPORTED, NOT EVIDENT",ROSELAND COMMUNITY HOSPITAL,DISREGARDED CONTROL DEVICES,7,26,1,4
O1324086,2,4/26/2022 7:30,CHICAGO,60620,F,28,"DEPLOYED, SIDE","REPORTED, NOT EVIDENT",TRINITY HOSPITAL,NONE,7,26,1,4
O1324063,2,4/26/2022 7:45,CHICAGO,60620,M,68,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED AT TIME OF INCIDENT,NONE,7,26,1,4
O1324047,2,4/26/2022 7:53,CHICAGO,60660,M,31,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,7,26,1,4
O1324048,2,4/26/2022 7:53,CHICAGO,60611,M,26,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,7,26,1,4
O1324244,2,4/26/2022 8:00,CHICAGO,60613,M,32,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,FOLLOWED TOO CLOSELY,8,26,1,4
O1324245,2,4/26/2022 8:00,CHICAGO,60630,F,48,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,NONE,8,26,1,4
O1324073,2,4/26/2022 8:09,CHICAGO,60620,M,61,NOT APPLICABLE,NO INDICATION OF INJURY,HOLY CROSS,IMPROPER BACKING,8,26,1,4
O1324148,2,4/26/2022 8:30,CHICAGO,60640,F,42,DID NOT DEPLOY,NO INDICATION OF INJURY,99,OTHER,8,26,1,4
O1324111,2,4/26/2022 9:20,CHICAGO,60617,F,54,"DEPLOYED, SIDE",NONINCAPACITATING INJURY,U OF ILLINOIS,FAILED TO YIELD,9,26,1,4
O1324120,2,4/26/2022 9:35,CHICAGO,60609,M,63,DID NOT DEPLOY,NONINCAPACITATING INJURY,LITTLE COMPANY OF MARY,NONE,9,26,1,4
O1324168,2,4/26/2022 9:55,CHICAGO,60657,M,47,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,9,26,1,4
O1324137,2,4/26/2022 10:00,CHICAGO,60629,F,19,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,10,26,1,4
O1324149,2,4/26/2022 10:10,CHICAGO,60609,F,21,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,FOLLOWED TOO CLOSELY,10,26,1,4
O1324208,2,4/26/2022 11:35,CHICAGO,60626,M,51,DID NOT DEPLOY,NONINCAPACITATING INJURY,ST FRANCIS,FAILED TO YIELD,11,26,1,4
O1324290,2,4/26/2022 13:03,CHICAGO,60612,F,25,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",ST ANTHONYS,FOLLOWED TOO CLOSELY,13,26,1,4
O1324291,2,4/26/2022 13:03,CHICAGO,60612,F,21,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",MT SINAI,NONE,13,26,1,4
O1324287,2,4/26/2022 13:15,CHICAGO,60647,M,43,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,13,26,1,4
O1324265,2,4/26/2022 13:43,CHICAGO,60629,F,24,DID NOT DEPLOY,NONINCAPACITATING INJURY,REFUSED EMS ON SCENE,NONE,13,26,1,4
O1324266,2,4/26/2022 13:43,CHICAGO,60617,F,36,DID NOT DEPLOY,NONINCAPACITATING INJURY,REFUSED EMS ON SCENE,NONE,13,26,1,4
O1330361,2,4/26/2022 14:52,CHICAGO,60628,F,47,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,NONE,14,26,1,4
O1324361,2,4/26/2022 15:04,CHICAGO,60636,F,18,"DEPLOYED, FRONT","REPORTED, NOT EVIDENT",ST. ANTHONY HOSPITAL,NONE,15,26,1,4
O1324379,2,4/26/2022 15:42,CHICAGO,60642,M,52,DID NOT DEPLOY,NO INDICATION OF INJURY,THOREK HOSPITAL,OTHER,15,26,1,4
O1324431,2,4/26/2022 16:20,CHICAGO,60634,M,36,NOT APPLICABLE,NO INDICATION OF INJURY,NONE,UNKNOWN,16,26,1,4
O1324432,2,4/26/2022 16:20,CHICAGO,60634,M,62,NOT APPLICABLE,NO INDICATION OF INJURY,NONE,NONE,16,26,1,4
O1324557,2,4/26/2022 16:30,CHICAGO,60651,F,36,DID NOT DEPLOY,NO INDICATION OF INJURY,"REFUSED, NOT ON SCENE",FAILED TO YIELD,16,26,1,4
O1324558,2,4/26/2022 16:30,CHICAGO,60639,M,31,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,16,26,1,4
O1324398,2,4/26/2022 16:50,CHICAGO,60651,M,55,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,16,26,1,4
O1324394,2,4/26/2022 17:05,CHICAGO,60608,M,36,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED EMS,FAILED TO YIELD,17,26,1,4
O1324395,2,4/26/2022 17:05,CHICAGO,60616,M,28,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED EMS,NONE,17,26,1,4
O1324473,2,4/26/2022 18:00,CHICAGO,60622,M,33,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED ATTN,IMPROPER BACKING,18,26,1,4
O1324474,2,4/26/2022 18:00,CHICAGO,60614,M,33,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED MED ATTN,NONE,18,26,1,4
O1324468,2,4/26/2022 18:05,CHICAGO,60625,M,27,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,18,26,1,4
O1324545,2,4/26/2022 19:00,CHICAGO,60605,M,24,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,19,26,1,4
O1324581,2,4/26/2022 21:18,CHICAGO,60639,M,33,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,FOLLOWED TOO CLOSELY,21,26,1,4
O1324639,2,4/26/2022 23:00,CHICAGO,60632,M,20,"DEPLOYED, FRONT","REPORTED, NOT EVIDENT",TRINITY HOSPITAL,IMPROPER LANE CHANGE,23,26,1,4
O1324623,2,4/26/2022 23:55,CHICAGO,60629,M,18,"DEPLOYED, SIDE",NO INDICATION OF INJURY,REFUSED,UNKNOWN,23,26,1,4
O1324645,2,4/27/2022 2:13,CHICAGO,60636,F,27,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,INSIGHT,UNKNOWN,2,27,2,4
O1324655,2,4/27/2022 4:31,CHICAGO,60640,M,36,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,OTHER,4,27,2,4
O1324683,2,4/27/2022 6:25,CHICAGO,60660,M,34,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,6,27,2,4
O1324679,2,4/27/2022 6:42,CHICAGO,60618,M,48,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,OTHER,6,27,2,4
O1324687,2,4/27/2022 7:10,CHICAGO,60636,M,29,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,FOLLOWED TOO CLOSELY,7,27,2,4
O1324688,2,4/27/2022 7:10,CHICAGO,60636,M,46,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",NONE,NONE,7,27,2,4
O1324708,2,4/27/2022 7:20,CHICAGO,60655,F,71,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,FAILED TO YIELD,7,27,2,4
O1324763,2,4/27/2022 7:34,CHICAGO,60618,M,47,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,7,27,2,4
O1324728,2,4/27/2022 7:40,CHICAGO,60639,M,49,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,27,2,4
O1324749,2,4/27/2022 7:59,CHICAGO,60623,F,32,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,7,27,2,4
